OBJECTID,REGION_NAM,SHAPE_Leng,SHAPE_Area
1,Southern,1838339.985550498124212,19183564061.971630096435547
2,Southern,168612.092910423933063,380768233.334097564220428
3,Scotland,5866008.006014556623995,68482521790.642478942871094
4,North West & Central,2648237.310546769760549,27598375732.211650848388672
5,Eastern,3708178.631790276151150,56162453845.528930664062500
6,Wales & Western,4665871.478542232885957,47892573642.221221923828125
